Demand,Sales,Date,Month,Class
7,2729.93,1,1,1
14,5459.86,2,1,1
14,5459.86,3,1,1
8,3119.92,4,1,1
13,5069.87,5,1,1
8,3119.92,6,1,1
12,4679.88,7,1,1
12,4679.88,8,1,1
14,5459.86,9,1,1
12,4679.88,10,1,1
11,4289.89,11,1,1
9,3509.91,12,1,1
10,3899.9,13,1,1
11,4289.89,14,1,1
8,3119.92,15,1,1
10,3899.9,16,1,1
7,2729.93,17,1,1
13,5069.87,18,1,1
9,3509.91,19,1,1
7,2729.93,20,1,1
5,1949.95,21,1,1
8,3119.92,22,1,1
8,3119.92,23,1,1
7,2729.93,24,1,1
10,3899.9,25,1,1
16,6239.84,26,1,1
11,4289.89,27,1,1
9,3509.91,28,1,1
7,2729.93,29,1,1
10,3899.9,30,1,1
12,4679.88,31,1,1
15,5849.85,1,2,1
14,5459.86,2,2,1
15,5849.85,3,2,1
15,5849.85,4,2,1
16,6239.84,5,2,1
18,7019.82,6,2,0
15,5849.85,7,2,1
20,7799.8,8,2,0
18,7019.82,9,2,0
11,4289.89,10,2,1
26,10139.74,11,2,0
16,6239.84,12,2,1
15,5849.85,13,2,1
12,4679.88,14,2,1
13,5069.87,15,2,1
16,6239.84,16,2,1
17,6629.83,17,2,1
17,6629.83,18,2,1
7,2729.93,19,2,1
16,6239.84,20,2,1
16,6239.84,21,2,1
11,4289.89,22,2,1
15,5849.85,23,2,1
13,5069.87,24,2,1
11,4289.89,25,2,1
15,5849.85,26,2,1
17,6629.83,27,2,1
16,6239.84,28,2,1
12,4679.88,1,3,1
13,5069.87,2,3,1
12,4679.88,3,3,1
19,7409.81,4,3,0
16,6239.84,5,3,1
9,3509.91,6,3,1
22,8579.78,7,3,0
13,5069.87,8,3,1
17,6629.83,9,3,1
9,3509.91,10,3,1
22,8579.78,11,3,0
18,7019.82,12,3,0
17,6629.83,13,3,1
15,5849.85,14,3,1
19,7409.81,15,3,0
11,4289.89,16,3,1
17,6629.83,17,3,1
13,5069.87,18,3,1
16,6239.84,19,3,1
19,7409.81,20,3,0
20,7799.8,21,3,0
12,4679.88,22,3,1
11,4289.89,23,3,1
17,6629.83,24,3,1
10,3899.9,25,3,1
18,7019.82,26,3,0
17,6629.83,27,3,1
19,7409.81,28,3,0
16,6239.84,29,3,1
10,3899.9,30,3,1
19,7409.81,31,3,0
16,6239.84,1,4,1
17,6629.83,2,4,1
16,6239.84,3,4,1
17,6629.83,4,4,1
26,10139.74,5,4,0
22,8579.78,6,4,0
6,2339.94,7,4,1
14,5459.86,8,4,1
14,5459.86,9,4,1
23,8969.77,10,4,0
16,6239.84,11,4,1
21,8189.79,12,4,0
20,7799.8,13,4,0
17,6629.83,14,4,1
14,5459.86,15,4,1
20,7799.8,16,4,0
20,7799.8,17,4,0
21,8189.79,18,4,0
24,9359.76,19,4,0
21,8189.79,20,4,0
19,7409.81,21,4,0
20,7799.8,22,4,0
20,7799.8,23,4,0
22,8579.78,24,4,0
25,9749.75,25,4,0
16,6239.84,26,4,1
14,5459.86,27,4,1
15,5849.85,28,4,1
28,10919.72,29,4,0
19,7409.81,30,4,0
19,7409.81,1,5,0
20,7799.8,2,5,0
8,3119.92,3,5,1
12,4679.88,4,5,1
14,5459.86,5,5,1
15,5849.85,6,5,1
16,6239.84,7,5,1
14,5459.86,8,5,1
19,7409.81,9,5,0
22,8579.78,10,5,0
17,6629.83,11,5,1
18,7019.82,12,5,0
19,7409.81,13,5,0
24,9359.76,14,5,0
12,4679.88,15,5,1
18,7019.82,16,5,0
18,7019.82,17,5,0
18,7019.82,18,5,0
19,7409.81,19,5,0
17,6629.83,20,5,1
26,10139.74,21,5,0
17,6629.83,22,5,1
21,8189.79,23,5,0
23,8969.77,24,5,0
15,5849.85,25,5,1
14,5459.86,26,5,1
17,6629.83,27,5,1
15,5849.85,28,5,1
14,5459.86,29,5,1
24,9359.76,30,5,0
16,6239.84,31,5,1
12,4679.88,1,6,1
18,7019.82,2,6,0
22,8579.78,3,6,0
13,5069.87,4,6,1
20,7799.8,5,6,0
21,8189.79,6,6,0
9,3509.91,7,6,1
17,6629.83,8,6,1
11,4289.89,9,6,1
22,8579.78,10,6,0
16,6239.84,11,6,1
13,5069.87,12,6,1
19,7409.81,13,6,0
17,6629.83,14,6,1
11,4289.89,15,6,1
11,4289.89,16,6,1
13,5069.87,17,6,1
17,6629.83,18,6,1
21,8189.79,19,6,0
20,7799.8,20,6,0
10,3899.9,21,6,1
10,3899.9,22,6,1
