Demand,Sales,Date,Month,Class
9,2700,1,1,1
9,2700,2,1,1
5,1500,3,1,1
10,3000,4,1,1
5,1500,5,1,1
5,1500,6,1,1
6,1800,7,1,1
3,900,8,1,1
7,2100,9,1,1
6,1800,10,1,1
12,3600,11,1,1
7,2100,12,1,1
3,900,13,1,1
10,3000,14,1,1
13,3900,15,1,1
9,2700,16,1,1
10,3000,17,1,1
5,1500,18,1,1
10,3000,19,1,1
7,2100,20,1,1
13,3900,21,1,1
6,1800,22,1,1
5,1500,23,1,1
11,3300,24,1,1
8,2400,25,1,1
8,2400,26,1,1
7,2100,27,1,1
7,2100,28,1,1
7,2100,29,1,1
9,2700,30,1,1
11,3300,31,1,1
10,3000,1,2,1
7,2100,2,2,1
10,3000,3,2,1
5,1500,4,2,1
9,2700,5,2,1
10,3000,6,2,1
13,3900,7,2,1
9,2700,8,2,1
12,3600,9,2,1
12,3600,10,2,1
7,2100,11,2,1
13,3900,12,2,1
12,3600,13,2,1
15,4500,14,2,1
15,4500,15,2,1
16,4800,16,2,0
14,4200,17,2,1
7,2100,18,2,1
10,3000,19,2,1
9,2700,20,2,1
13,3900,21,2,1
14,4200,22,2,1
8,2400,23,2,1
11,3300,24,2,1
12,3600,25,2,1
14,4200,26,2,1
9,2700,27,2,1
17,5100,28,2,0
10,3000,1,3,1
14,4200,2,3,1
12,3600,3,3,1
18,5400,4,3,0
10,3000,5,3,1
10,3000,6,3,1
9,2700,7,3,1
8,2400,8,3,1
14,4200,9,3,1
13,3900,10,3,1
14,4200,11,3,1
7,2100,12,3,1
10,3000,13,3,1
11,3300,14,3,1
14,4200,15,3,1
14,4200,16,3,1
6,1800,17,3,1
12,3600,18,3,1
13,3900,19,3,1
13,3900,20,3,1
10,3000,21,3,1
13,3900,22,3,1
7,2100,23,3,1
14,4200,24,3,1
15,4500,25,3,1
10,3000,26,3,1
15,4500,27,3,1
9,2700,28,3,1
14,4200,29,3,1
9,2700,30,3,1
11,3300,31,3,1
16,4800,1,4,0
14,4200,2,4,1
11,3300,3,4,1
12,3600,4,4,1
15,4500,5,4,1
13,3900,6,4,1
15,4500,7,4,1
14,4200,8,4,1
22,6600,9,4,0
14,4200,10,4,1
14,4200,11,4,1
19,5700,12,4,0
8,2400,13,4,1
12,3600,14,4,1
14,4200,15,4,1
17,5100,16,4,0
17,5100,17,4,0
18,5400,18,4,0
13,3900,19,4,1
14,4200,20,4,1
16,4800,21,4,0
14,4200,22,4,1
16,4800,23,4,0
32,9600,24,4,0
15,4500,25,4,1
18,5400,26,4,0
16,4800,27,4,0
9,2700,28,4,1
12,3600,29,4,1
18,5400,30,4,0
10,3000,1,5,1
14,4200,2,5,1
15,4500,3,5,1
11,3300,4,5,1
15,4500,5,5,1
13,3900,6,5,1
7,2100,7,5,1
17,5100,8,5,0
15,4500,9,5,1
15,4500,10,5,1
16,4800,11,5,0
5,1500,12,5,1
15,4500,13,5,1
12,3600,14,5,1
12,3600,15,5,1
9,2700,16,5,1
14,4200,17,5,1
17,5100,18,5,0
12,3600,19,5,1
18,5400,20,5,0
14,4200,21,5,1
10,3000,22,5,1
14,4200,23,5,1
18,5400,24,5,0
9,2700,25,5,1
16,4800,26,5,0
12,3600,27,5,1
11,3300,28,5,1
6,1800,29,5,1
14,4200,30,5,1
13,3900,31,5,1
8,2400,1,6,1
9,2700,2,6,1
12,3600,3,6,1
9,2700,4,6,1
12,3600,5,6,1
10,3000,6,6,1
15,4500,7,6,1
22,6600,8,6,0
11,3300,9,6,1
8,2400,10,6,1
13,3900,11,6,1
14,4200,12,6,1
9,2700,13,6,1
9,2700,14,6,1
18,5400,15,6,0
13,3900,16,6,1
12,3600,17,6,1
7,2100,18,6,1
13,3900,19,6,1
14,4200,20,6,1
12,3600,21,6,1
7,2100,22,6,1
15,4500,23,6,1
15,4500,24,6,1
15,4500,25,6,1
12,3600,26,6,1
14,4200,27,6,1
10,3000,28,6,1
13,3900,29,6,1
15,4500,30,6,1
11,3300,1,7,1
12,3600,2,7,1
12,3600,3,7,1
11,3300,4,7,1
15,4500,5,7,1
14,4200,6,7,1
16,4800,7,7,0
10,3000,8,7,1
6,1800,9,7,1
10,3000,10,7,1
17,5100,11,7,0
12,3600,12,7,1
18,5400,13,7,0
12,3600,14,7,1
14,4200,15,7,1
16,4800,16,7,0
9,2700,17,7,1
11,3300,18,7,1
16,4800,19,7,0
8,2400,20,7,1
8,2400,21,7,1
24,7200,22,7,0
12,3600,23,7,1
12,3600,24,7,1
14,4200,25,7,1
12,3600,26,7,1
15,4500,27,7,1
17,5100,28,7,0
9,2700,29,7,1
10,3000,30,7,1
13,3900,31,7,1
11,3300,1,8,1
11,3300,2,8,1
15,4500,3,8,1
7,2100,4,8,1
11,3300,5,8,1
14,4200,6,8,1
10,3000,7,8,1
10,3000,8,8,1
13,3900,9,8,1
11,3300,10,8,1
13,3900,11,8,1
6,1800,12,8,1
14,4200,13,8,1
6,1800,14,8,1
9,2700,15,8,1
5,1500,16,8,1
16,4800,17,8,0
10,3000,18,8,1
12,3600,19,8,1
11,3300,20,8,1
13,3900,21,8,1
17,5100,22,8,0
7,2100,23,8,1
5,1500,24,8,1
10,3000,25,8,1
12,3600,26,8,1
14,4200,27,8,1
10,3000,28,8,1
11,3300,29,8,1
4,1200,30,8,1
13,3900,31,8,1
11,3300,1,9,1
9,2700,2,9,1
9,2700,3,9,1
7,2100,4,9,1
15,4500,5,9,1
9,2700,6,9,1
10,3000,7,9,1
7,2100,8,9,1
9,2700,9,9,1
7,2100,10,9,1
12,3600,11,9,1
7,2100,12,9,1
6,1800,13,9,1
18,5400,14,9,0
11,3300,15,9,1
7,2100,16,9,1
9,2700,17,9,1
15,4500,18,9,1
14,4200,19,9,1
10,3000,20,9,1
13,3900,21,9,1
7,2100,22,9,1
10,3000,23,9,1
9,2700,24,9,1
11,3300,25,9,1
2,600,26,9,1
9,2700,27,9,1
11,3300,28,9,1
13,3900,29,9,1
7,2100,30,9,1
16,4800,1,10,0
19,5700,2,10,0
15,4500,3,10,1
16,4800,4,10,0
22,6600,5,10,0
18,5400,6,10,0
28,8400,7,10,0
9,2700,8,10,1
13,3900,9,10,1
22,6600,10,10,0
15,4500,11,10,1
17,5100,12,10,0
8,2400,13,10,1
17,5100,14,10,0
20,6000,15,10,0
18,5400,16,10,0
16,4800,17,10,0
15,4500,18,10,1
17,5100,19,10,0
16,4800,20,10,0
22,6600,21,10,0
17,5100,22,10,0
21,6300,23,10,0
18,5400,24,10,0
16,4800,25,10,0
22,6600,26,10,0
13,3900,27,10,1
11,3300,28,10,1
12,3600,29,10,1
19,5700,30,10,0
16,4800,31,10,0
18,5400,1,11,0
26,7800,2,11,0
10,3000,3,11,1
16,4800,4,11,0
16,4800,5,11,0
14,4200,6,11,1
14,4200,7,11,1
7,2100,8,11,1
