Demand,Sales,Date,Month,Class
15,1499.85,1,1,1
19,1899.81,2,1,1
24,2399.76,3,1,1
16,1599.84,4,1,1
23,2299.77,5,1,1
21,2099.79,6,1,1
23,2299.77,7,1,1
17,1699.83,8,1,1
21,2099.79,9,1,1
30,2999.7,10,1,1
23,2299.77,11,1,1
22,2199.78,12,1,1
28,2799.72,13,1,1
23,2299.77,14,1,1
20,1999.8,15,1,1
29,2899.71,16,1,1
20,1999.8,17,1,1
19,1899.81,18,1,1
22,2199.78,19,1,1
22,2199.78,20,1,1
19,1899.81,21,1,1
25,2499.75,22,1,1
19,1899.81,23,1,1
22,2199.78,24,1,1
22,2199.78,25,1,1
18,1799.82,26,1,1
23,2299.77,27,1,1
19,1899.81,28,1,1
17,1699.83,29,1,1
18,1799.82,30,1,1
17,1699.83,31,1,1
33,3299.67,1,2,0
31,3099.69,2,2,0
38,3799.62,3,2,0
31,3099.69,4,2,0
29,2899.71,5,2,1
25,2499.75,6,2,1
32,3199.68,7,2,0
27,2699.73,8,2,1
28,2799.72,9,2,1
31,3099.69,10,2,0
31,3099.69,11,2,0
25,2499.75,12,2,1
37,3699.63,13,2,0
31,3099.69,14,2,0
30,2999.7,15,2,1
29,2899.71,16,2,1
21,2099.79,17,2,1
32,3199.68,18,2,0
28,2799.72,19,2,1
28,2799.72,20,2,1
31,3099.69,21,2,0
35,3499.65,22,2,0
18,1799.82,23,2,1
32,3199.68,24,2,0
27,2699.73,25,2,1
28,2799.72,26,2,1
37,3699.63,27,2,0
29,2899.71,28,2,1
34,3399.66,1,3,0
36,3599.64,2,3,0
38,3799.62,3,3,0
45,4499.55,4,3,0
39,3899.61,5,3,0
39,3899.61,6,3,0
30,2999.7,7,3,1
43,4299.57,8,3,0
45,4499.55,9,3,0
39,3899.61,10,3,0
34,3399.66,11,3,0
34,3399.66,12,3,0
44,4399.56,13,3,0
42,4199.58,14,3,0
27,2699.73,15,3,1
38,3799.62,16,3,0
42,4199.58,17,3,0
37,3699.63,18,3,0
42,4199.58,19,3,0
37,3699.63,20,3,0
40,3999.6,21,3,0
43,4299.57,22,3,0
43,4299.57,23,3,0
35,3499.65,24,3,0
26,2599.74,25,3,1
24,2399.76,26,3,1
47,4699.53,27,3,0
41,4099.59,28,3,0
53,5299.47,29,3,0
40,3999.6,30,3,0
26,2599.74,31,3,1
47,4699.53,1,4,0
42,4199.58,2,4,0
37,3699.63,3,4,0
39,3899.61,4,4,0
51,5099.49,5,4,0
38,3799.62,6,4,0
44,4399.56,7,4,0
53,5299.47,8,4,0
47,4699.53,9,4,0
43,4299.57,10,4,0
39,3899.61,11,4,0
44,4399.56,12,4,0
54,5399.46,13,4,0
44,4399.56,14,4,0
36,3599.64,15,4,0
44,4399.56,16,4,0
45,4499.55,17,4,0
45,4499.55,18,4,0
33,3299.67,19,4,0
29,2899.71,20,4,1
53,5299.47,21,4,0
38,3799.62,22,4,0
44,4399.56,23,4,0
45,4499.55,24,4,0
32,3199.68,25,4,0
46,4599.54,26,4,0
50,4999.5,27,4,0
44,4399.56,28,4,0
30,2999.7,29,4,1
44,4399.56,30,4,0
36,3599.64,1,5,0
43,4299.57,2,5,0
34,3399.66,3,5,0
34,3399.66,4,5,0
34,3399.66,5,5,0
26,2599.74,6,5,1
51,5099.49,7,5,0
45,4499.55,8,5,0
35,3499.65,9,5,0
37,3699.63,10,5,0
38,3799.62,11,5,0
46,4599.54,12,5,0
35,3499.65,13,5,0
53,5299.47,14,5,0
30,2999.7,15,5,1
42,4199.58,16,5,0
39,3899.61,17,5,0
38,3799.62,18,5,0
33,3299.67,19,5,0
34,3399.66,20,5,0
28,2799.72,21,5,1
34,3399.66,22,5,0
46,4599.54,23,5,0
32,3199.68,24,5,0
37,3699.63,25,5,0
28,2799.72,26,5,1
44,4399.56,27,5,0
36,3599.64,28,5,0
39,3899.61,29,5,0
31,3099.69,30,5,0
47,4699.53,31,5,0
31,3099.69,1,6,0
42,4199.58,2,6,0
26,2599.74,3,6,1
27,2699.73,4,6,1
34,3399.66,5,6,0
31,3099.69,6,6,0
19,1899.81,7,6,1
29,2899.71,8,6,1
32,3199.68,9,6,0
30,2999.7,10,6,1
24,2399.76,11,6,1
35,3499.65,12,6,0
29,2899.71,13,6,1
38,3799.62,14,6,0
36,3599.64,15,6,0
42,4199.58,16,6,0
32,3199.68,17,6,0
26,2599.74,18,6,1
