Demand,Sales,Date,Month,Class
21,3150,1,1,1
34,5100,2,1,1
21,3150,3,1,1
24,3600,4,1,1
23,3450,5,1,1
26,3900,6,1,1
23,3450,7,1,1
28,4200,8,1,1
25,3750,9,1,1
32,4800,10,1,1
23,3450,11,1,1
31,4650,12,1,1
25,3750,13,1,1
21,3150,14,1,1
29,4350,15,1,1
29,4350,16,1,1
28,4200,17,1,1
21,3150,18,1,1
30,4500,19,1,1
25,3750,20,1,1
22,3300,21,1,1
22,3300,22,1,1
24,3600,23,1,1
24,3600,24,1,1
18,2700,25,1,1
29,4350,26,1,1
34,5100,27,1,1
26,3900,28,1,1
34,5100,29,1,1
27,4050,30,1,1
30,4500,31,1,1
26,3900,1,2,1
40,6000,2,2,1
42,6300,3,2,1
30,4500,4,2,1
33,4950,5,2,1
35,5250,6,2,1
36,5400,7,2,1
36,5400,8,2,1
33,4950,9,2,1
44,6600,10,2,0
34,5100,11,2,1
41,6150,12,2,1
31,4650,13,2,1
37,5550,14,2,1
31,4650,15,2,1
36,5400,16,2,1
37,5550,17,2,1
51,7650,18,2,0
29,4350,19,2,1
34,5100,20,2,1
46,6900,21,2,0
30,4500,22,2,1
34,5100,23,2,1
38,5700,24,2,1
35,5250,25,2,1
44,6600,26,2,0
42,6300,27,2,1
26,3900,28,2,1
35,5250,1,3,1
39,5850,2,3,1
39,5850,3,3,1
40,6000,4,3,1
44,6600,5,3,0
44,6600,6,3,0
38,5700,7,3,1
39,5850,8,3,1
40,6000,9,3,1
50,7500,10,3,0
46,6900,11,3,0
44,6600,12,3,0
61,9150,13,3,0
43,6450,14,3,0
38,5700,15,3,1
45,6750,16,3,0
48,7200,17,3,0
39,5850,18,3,1
36,5400,19,3,1
42,6300,20,3,1
32,4800,21,3,1
47,7050,22,3,0
43,6450,23,3,0
53,7950,24,3,0
35,5250,25,3,1
53,7950,26,3,0
38,5700,27,3,1
50,7500,28,3,0
33,4950,29,3,1
40,6000,30,3,1
38,5700,31,3,1
48,7200,1,4,0
50,7500,2,4,0
52,7800,3,4,0
74,11100,4,4,0
50,7500,5,4,0
49,7350,6,4,0
50,7500,7,4,0
51,7650,8,4,0
52,7800,9,4,0
56,8400,10,4,0
44,6600,11,4,0
39,5850,12,4,1
51,7650,13,4,0
43,6450,14,4,0
49,7350,15,4,0
44,6600,16,4,0
45,6750,17,4,0
43,6450,18,4,0
41,6150,19,4,1
49,7350,20,4,0
50,7500,21,4,0
62,9300,22,4,0
58,8700,23,4,0
51,7650,24,4,0
67,10050,25,4,0
44,6600,26,4,0
59,8850,27,4,0
55,8250,28,4,0
47,7050,29,4,0
42,6300,30,4,1
41,6150,1,5,1
58,8700,2,5,0
45,6750,3,5,0
48,7200,4,5,0
31,4650,5,5,1
35,5250,6,5,1
41,6150,7,5,1
42,6300,8,5,1
45,6750,9,5,0
42,6300,10,5,1
41,6150,11,5,1
36,5400,12,5,1
46,6900,13,5,0
55,8250,14,5,0
41,6150,15,5,1
56,8400,16,5,0
47,7050,17,5,0
43,6450,18,5,0
58,8700,19,5,0
42,6300,20,5,1
53,7950,21,5,0
35,5250,22,5,1
43,6450,23,5,0
44,6600,24,5,0
46,6900,25,5,0
47,7050,26,5,0
31,4650,27,5,1
38,5700,28,5,1
39,5850,29,5,1
47,7050,30,5,0
32,4800,31,5,1
38,5700,1,6,1
35,5250,2,6,1
41,6150,3,6,1
40,6000,4,6,1
40,6000,5,6,1
35,5250,6,6,1
34,5100,7,6,1
41,6150,8,6,1
36,5400,9,6,1
31,4650,10,6,1
36,5400,11,6,1
37,5550,12,6,1
36,5400,13,6,1
47,7050,14,6,0
46,6900,15,6,0
40,6000,16,6,1
39,5850,17,6,1
43,6450,18,6,0
35,5250,19,6,1
35,5250,20,6,1
38,5700,21,6,1
32,4800,22,6,1
41,6150,23,6,1
36,5400,24,6,1
37,5550,25,6,1
43,6450,26,6,0
44,6600,27,6,0
44,6600,28,6,0
36,5400,29,6,1
38,5700,30,6,1
41,6150,1,7,1
50,7500,2,7,0
46,6900,3,7,0
37,5550,4,7,1
28,4200,5,7,1
53,7950,6,7,0
28,4200,7,7,1
41,6150,8,7,1
49,7350,9,7,0
40,6000,10,7,1
37,5550,11,7,1
44,6600,12,7,0
41,6150,13,7,1
42,6300,14,7,1
44,6600,15,7,0
30,4500,16,7,1
37,5550,17,7,1
44,6600,18,7,0
29,4350,19,7,1
41,6150,20,7,1
34,5100,21,7,1
44,6600,22,7,0
34,5100,23,7,1
35,5250,24,7,1
42,6300,25,7,1
33,4950,26,7,1
38,5700,27,7,1
40,6000,28,7,1
34,5100,29,7,1
37,5550,30,7,1
40,6000,31,7,1
32,4800,1,8,1
27,4050,2,8,1
24,3600,3,8,1
31,4650,4,8,1
22,3300,5,8,1
27,4050,6,8,1
27,4050,7,8,1
37,5550,8,8,1
39,5850,9,8,1
38,5700,10,8,1
35,5250,11,8,1
34,5100,12,8,1
37,5550,13,8,1
30,4500,14,8,1
38,5700,15,8,1
31,4650,16,8,1
33,4950,17,8,1
30,4500,18,8,1
34,5100,19,8,1
27,4050,20,8,1
24,3600,21,8,1
36,5400,22,8,1
30,4500,23,8,1
36,5400,24,8,1
34,5100,25,8,1
34,5100,26,8,1
41,6150,27,8,1
30,4500,28,8,1
37,5550,29,8,1
28,4200,30,8,1
37,5550,31,8,1
31,4650,1,9,1
30,4500,2,9,1
36,5400,3,9,1
36,5400,4,9,1
26,3900,5,9,1
35,5250,6,9,1
27,4050,7,9,1
42,6300,8,9,1
25,3750,9,9,1
36,5400,10,9,1
33,4950,11,9,1
41,6150,12,9,1
35,5250,13,9,1
28,4200,14,9,1
37,5550,15,9,1
31,4650,16,9,1
24,3600,17,9,1
27,4050,18,9,1
31,4650,19,9,1
34,5100,20,9,1
27,4050,21,9,1
36,5400,22,9,1
37,5550,23,9,1
36,5400,24,9,1
29,4350,25,9,1
36,5400,26,9,1
25,3750,27,9,1
38,5700,28,9,1
30,4500,29,9,1
29,4350,30,9,1
60,9000,1,10,0
64,9600,2,10,0
61,9150,3,10,0
49,7350,4,10,0
60,9000,5,10,0
55,8250,6,10,0
58,8700,7,10,0
52,7800,8,10,0
51,7650,9,10,0
68,10200,10,10,0
47,7050,11,10,0
48,7200,12,10,0
44,6600,13,10,0
51,7650,14,10,0
54,8100,15,10,0
48,7200,16,10,0
50,7500,17,10,0
47,7050,18,10,0
63,9450,19,10,0
52,7800,20,10,0
53,7950,21,10,0
61,9150,22,10,0
46,6900,23,10,0
65,9750,24,10,0
54,8100,25,10,0
53,7950,26,10,0
38,5700,27,10,1
55,8250,28,10,0
62,9300,29,10,0
39,5850,30,10,1
57,8550,31,10,0
56,8400,1,11,0
57,8550,2,11,0
49,7350,3,11,0
52,7800,4,11,0
43,6450,5,11,0
47,7050,6,11,0
52,7800,7,11,0
55,8250,8,11,0
46,6900,9,11,0
46,6900,10,11,0
51,7650,11,11,0
35,5250,12,11,1
59,8850,13,11,0
58,8700,14,11,0
49,7350,15,11,0
48,7200,16,11,0
49,7350,17,11,0
56,8400,18,11,0
38,5700,19,11,1
