Quantity,Sales,Month,Date,Class
40,478,1,1,0
31,370.45,2,1,0
38,454.1,3,1,0
46,549.7,4,1,0
30,358.5,5,1,1
39,466.05,6,1,0
36,430.2,7,1,0
39,466.05,8,1,0
38,454.1,9,1,0
35,418.25,10,1,0
44,525.8,11,1,0
30,358.5,12,1,1
33,394.35,13,1,0
36,430.2,14,1,0
47,561.65,15,1,0
37,442.15,16,1,0
32,382.4,17,1,0
47,561.65,18,1,0
41,489.95,19,1,0
40,478,20,1,0
30,358.5,21,1,1
41,489.95,22,1,0
29,346.55,23,1,1
44,525.8,24,1,0
40,478,25,1,0
44,525.8,26,1,0
37,442.15,27,1,0
49,585.55,28,1,0
34,406.3,29,1,0
42,501.9,30,1,0
22,262.9,31,1,1
54,645.3,1,2,1
51,609.45,2,2,1
59,705.05,3,2,0
54,645.3,4,2,1
30,358.5,5,2,1
61,728.95,6,2,0
61,728.95,7,2,0
70,836.5,8,2,0
61,728.95,9,2,0
50,597.5,10,2,1
50,597.5,11,2,1
52,621.4,12,2,1
51,609.45,13,2,1
41,489.95,14,2,1
55,657.25,15,2,0
50,597.5,16,2,1
61,728.95,17,2,0
62,740.9,18,2,0
55,657.25,19,2,0
51,609.45,20,2,1
45,537.75,21,2,1
50,597.5,22,2,1
54,645.3,23,2,1
51,609.45,24,2,1
59,705.05,25,2,0
62,740.9,26,2,0
58,693.1,27,2,0
56,669.2,28,2,0
72,860.4,1,3,0
73,872.35,2,3,0
49,585.55,3,3,1
60,717,4,3,1
49,585.55,5,3,1
53,633.35,6,3,1
66,788.7,7,3,0
63,752.85,8,3,0
66,788.7,9,3,0
60,717,10,3,1
60,717,11,3,1
67,800.65,12,3,0
60,717,13,3,1
49,585.55,14,3,1
62,740.9,15,3,0
53,633.35,16,3,1
51,609.45,17,3,1
75,896.25,18,3,0
51,609.45,19,3,1
51,609.45,20,3,1
56,669.2,21,3,1
42,501.9,22,3,1
58,693.1,23,3,1
50,597.5,24,3,1
57,681.15,25,3,1
55,657.25,26,3,1
50,597.5,27,3,1
52,621.4,28,3,1
52,621.4,29,3,1
57,681.15,30,3,1
51,609.45,31,3,1
70,836.5,1,4,0
63,752.85,2,4,1
76,908.2,3,4,0
54,645.3,4,4,1
66,788.7,5,4,1
78,932.1,6,4,0
64,764.8,7,4,1
63,752.85,8,4,1
83,991.85,9,4,0
77,920.15,10,4,0
93,1111.35,11,4,0
62,740.9,12,4,1
76,908.2,13,4,0
88,1051.6,14,4,0
75,896.25,15,4,0
