Quantity,Sales,Month,Date,Class
10,17000,1,1,0
9,15300,2,1,1
4,6800,3,1,1
10,17000,4,1,0
4,6800,5,1,1
5,8500,6,1,1
6,10200,7,1,1
11,18700,8,1,0
7,11900,9,1,1
3,5100,10,1,1
15,25500,11,1,0
2,3400,12,1,1
10,17000,13,1,0
8,13600,14,1,1
9,15300,15,1,1
5,8500,16,1,1
6,10200,17,1,1
4,6800,18,1,1
7,11900,19,1,1
12,20400,20,1,0
7,11900,21,1,1
9,15300,22,1,1
9,15300,23,1,1
5,8500,24,1,1
7,11900,25,1,1
8,13600,26,1,1
9,15300,27,1,1
6,10200,28,1,1
13,22100,29,1,0
6,10200,30,1,1
9,15300,31,1,1
4,6800,1,2,1
10,17000,2,2,0
7,11900,3,2,0
6,10200,4,2,1
11,18700,5,2,0
10,17000,6,2,0
6,10200,7,2,1
12,20400,8,2,0
11,18700,9,2,0
10,17000,10,2,0
7,11900,11,2,0
11,18700,12,2,0
10,17000,13,2,0
9,15300,14,2,0
12,20400,15,2,0
14,23800,16,2,0
12,20400,17,2,0
9,15300,18,2,0
11,18700,19,2,0
9,15300,20,2,0
9,15300,21,2,0
13,22100,22,2,0
9,15300,23,2,0
10,17000,24,2,0
12,20400,25,2,0
9,15300,26,2,0
13,22100,27,2,0
9,15300,28,2,0
13,22100,1,3,1
10,17000,2,3,1
13,22100,3,3,1
6,10200,4,3,1
18,30600,5,3,0
10,17000,6,3,1
14,23800,7,3,0
14,23800,8,3,0
17,28900,9,3,0
8,13600,10,3,1
7,11900,11,3,1
13,22100,12,3,1
11,18700,13,3,1
8,13600,14,3,1
13,22100,15,3,1
9,15300,16,3,1
8,13600,17,3,1
19,32300,18,3,0
8,13600,19,3,1
11,18700,20,3,1
11,18700,21,3,1
18,30600,22,3,0
10,17000,23,3,1
10,17000,24,3,1
17,28900,25,3,0
16,27200,26,3,0
12,20400,27,3,1
14,23800,28,3,0
17,28900,29,3,0
11,18700,30,3,1
14,23800,31,3,0
17,28900,1,4,0
12,20400,2,4,1
16,27200,3,4,0
13,22100,4,4,1
17,28900,5,4,0
11,18700,6,4,1
14,23800,7,4,1
10,17000,8,4,1
12,20400,9,4,1
17,28900,10,4,0
14,23800,11,4,1
13,22100,12,4,1
7,11900,13,4,1
14,23800,14,4,1
16,27200,15,4,0
18,30600,16,4,0
14,23800,17,4,1
22,37400,18,4,0
9,15300,19,4,1
14,23800,20,4,1
18,30600,21,4,0
10,17000,22,4,1
13,22100,23,4,1
21,35700,24,4,0
21,35700,25,4,0
18,30600,26,4,0
21,35700,27,4,0
17,28900,28,4,0
20,34000,29,4,0
14,23800,30,4,1
13,22100,1,5,0
13,22100,2,5,0
16,27200,3,5,0
22,37400,4,5,0
18,30600,5,5,0
18,30600,6,5,0
10,17000,7,5,1
13,22100,8,5,0
19,32300,9,5,0
13,22100,10,5,0
17,28900,11,5,0
21,35700,12,5,0
11,18700,13,5,1
14,23800,14,5,0
13,22100,15,5,0
13,22100,16,5,0
15,25500,17,5,0
13,22100,18,5,0
16,27200,19,5,0
17,28900,20,5,0
18,30600,21,5,0
16,27200,22,5,0
11,18700,23,5,1
14,23800,24,5,0
8,13600,25,5,1
22,37400,26,5,0
14,23800,27,5,0
18,30600,28,5,0
12,20400,29,5,1
12,20400,30,5,1
12,20400,31,5,1
14,23800,1,6,0
14,23800,2,6,0
12,20400,3,6,0
12,20400,4,6,0
13,22100,5,6,0
9,15300,6,6,1
9,15300,7,6,1
18,30600,8,6,0
18,30600,9,6,0
4,6800,10,6,1
19,32300,11,6,0
10,17000,12,6,1
18,30600,13,6,0
10,17000,14,6,1
10,17000,15,6,1
6,10200,16,6,1
11,18700,17,6,1
20,34000,18,6,0
13,22100,19,6,0
13,22100,20,6,0
10,17000,21,6,1
11,18700,22,6,1
11,18700,23,6,1
5,8500,24,6,1
10,17000,25,6,1
5,8500,26,6,1
12,20400,27,6,0
15,25500,28,6,0
13,22100,29,6,0
10,17000,30,6,1
18,30600,1,7,0
8,13600,2,7,1
13,22100,3,7,1
16,27200,4,7,0
6,10200,5,7,1
18,30600,6,7,0
9,15300,7,7,1
9,15300,8,7,1
14,23800,9,7,1
14,23800,10,7,1
10,17000,11,7,1
7,11900,12,7,1
18,30600,13,7,0
15,25500,14,7,1
13,22100,15,7,1
9,15300,16,7,1
12,20400,17,7,1
14,23800,18,7,1
8,13600,19,7,1
16,27200,20,7,0
22,37400,21,7,0
8,13600,22,7,1
11,18700,23,7,1
12,20400,24,7,1
7,11900,25,7,1
4,6800,26,7,1
10,17000,27,7,1
9,15300,28,7,1
12,20400,29,7,1
13,22100,30,7,1
13,22100,31,7,1
13,22100,1,8,0
3,5100,2,8,1
10,17000,3,8,0
9,15300,4,8,1
11,18700,5,8,0
11,18700,6,8,0
9,15300,7,8,1
6,10200,8,8,1
12,20400,9,8,0
19,32300,10,8,0
9,15300,11,8,1
10,17000,12,8,0
3,5100,13,8,1
13,22100,14,8,0
9,15300,15,8,1
11,18700,16,8,0
7,11900,17,8,1
8,13600,18,8,1
10,17000,19,8,0
12,20400,20,8,0
5,8500,21,8,1
15,25500,22,8,0
7,11900,23,8,1
7,11900,24,8,1
12,20400,25,8,0
14,23800,26,8,0
8,13600,27,8,1
7,11900,28,8,1
15,25500,29,8,0
7,11900,30,8,1
7,11900,31,8,1
9,15300,1,9,0
10,17000,2,9,0
8,13600,3,9,1
12,20400,4,9,0
11,18700,5,9,0
13,22100,6,9,0
9,15300,7,9,0
6,10200,8,9,1
16,27200,9,9,0
10,17000,10,9,0
11,18700,11,9,0
10,17000,12,9,0
15,25500,13,9,0
14,23800,14,9,0
6,10200,15,9,1
5,8500,16,9,1
7,11900,17,9,1
9,15300,18,9,0
10,17000,19,9,0
5,8500,20,9,1
8,13600,21,9,1
1,1700,22,9,1
9,15300,23,9,0
12,20400,24,9,0
14,23800,25,9,0
17,28900,26,9,0
5,8500,27,9,1
11,18700,28,9,0
6,10200,29,9,1
9,15300,30,9,0
22,37400,1,10,0
11,18700,2,10,1
9,15300,3,10,1
16,27200,4,10,1
16,27200,5,10,1
21,35700,6,10,0
17,28900,7,10,1
15,25500,8,10,1
12,20400,9,10,1
16,27200,10,10,1
19,32300,11,10,0
16,27200,12,10,1
19,32300,13,10,0
21,35700,14,10,0
13,22100,15,10,1
18,30600,16,10,1
22,37400,17,10,0
17,28900,18,10,1
15,25500,19,10,1
21,35700,20,10,0
18,30600,21,10,1
25,42500,22,10,0
16,27200,23,10,1
11,18700,24,10,1
20,34000,25,10,0
16,27200,26,10,1
15,25500,27,10,1
22,37400,28,10,0
19,32300,29,10,0
11,18700,30,10,1
16,27200,31,10,1
14,23800,1,11,1
16,27200,2,11,0
11,18700,3,11,1
10,17000,4,11,1
22,37400,5,11,0
9,15300,6,11,1
16,27200,7,11,0
16,27200,8,11,0
18,30600,9,11,0
15,25500,10,11,1
19,32300,11,11,0
12,20400,12,11,1
13,22100,13,11,1
10,17000,14,11,1
19,32300,15,11,0
11,18700,16,11,1
11,18700,17,11,1
10,17000,18,11,1
19,32300,19,11,0
18,30600,20,11,0
9,15300,21,11,1
17,28900,22,11,0
12,20400,23,11,1
23,39100,24,11,0
21,35700,25,11,0
13,22100,26,11,1
16,27200,27,11,0
12,20400,28,11,1
11,18700,29,11,1
17,28900,30,11,0
15,25500,1,12,0
26,44200,2,12,0
21,35700,3,12,0
23,39100,4,12,0
27,45900,5,12,0
23,39100,6,12,0
24,40800,7,12,0
17,28900,8,12,0
20,34000,9,12,0
23,39100,10,12,0
21,35700,11,12,0
12,20400,12,12,1
18,30600,13,12,0
17,28900,14,12,0
25,42500,15,12,0
28,47600,16,12,0
23,39100,17,12,0
26,44200,18,12,0
17,28900,19,12,0
25,42500,20,12,0
27,45900,21,12,0
25,42500,22,12,0
19,32300,23,12,0
18,30600,24,12,0
22,37400,25,12,0
17,28900,26,12,0
11,18700,27,12,1
16,27200,28,12,0
22,37400,29,12,0
20,34000,30,12,0
15,25500,31,12,0
